dataset,method,seed,rank_hv(auditor_fn_violation:accuracy),rank_hv(auditor_fn_violation:auc_prc),rank_hv(auditor_fn_violation:ave_precision_score),rank_hv(auditor_fp_violation:accuracy),rank_hv(auditor_fp_violation:auc_prc),rank_hv(auditor_fp_violation:ave_precision_score),method_nice
communities,feat_lex,29759,5.0,2.0,2.0,5.0,2.0,2.0,LEX
communities,feat_lex,30132,4.0,3.0,3.0,5.0,3.0,2.0,LEX
communities,feat_lex,31658,3.0,3.0,2.0,2.0,2.0,2.0,LEX
communities,feat_lex,32400,6.0,2.0,2.0,6.0,2.0,2.0,LEX
communities,feat_nsga2,871,6.0,7.0,6.0,6.0,8.0,7.0,NSGA2
communities,feat_nsga2,1318,5.0,6.0,6.0,5.0,6.0,6.0,NSGA2
communities,feat_nsga2,2917,1.0,2.0,2.0,1.0,3.0,2.0,NSGA2
communities,feat_nsga2,4719,4.0,7.0,5.0,4.0,7.0,5.0,NSGA2
communities,feat_nsga2,4866,2.0,4.0,4.0,3.0,4.0,4.0,NSGA2
communities,feat_nsga2,5740,6.0,6.0,5.0,6.0,7.0,5.0,NSGA2
communities,feat_nsga2,6126,6.0,3.0,3.0,6.0,3.0,3.0,NSGA2
communities,feat_nsga2,6654,2.0,7.0,5.0,2.0,7.0,5.0,NSGA2
communities,feat_nsga2,6832,5.0,7.0,5.0,5.0,8.0,6.0,NSGA2
communities,feat_nsga2,6933,5.0,3.0,3.0,5.0,3.0,3.0,NSGA2
communities,feat_nsga2,7376,6.0,7.0,6.0,6.0,8.0,8.0,NSGA2
communities,feat_nsga2,8233,6.0,4.0,4.0,6.0,6.0,5.0,NSGA2
communities,feat_nsga2,8653,1.0,4.0,4.0,3.0,6.0,4.0,NSGA2
communities,feat_nsga2,9271,4.0,4.0,4.0,4.0,6.0,4.0,NSGA2
communities,feat_nsga2,9292,3.0,5.0,5.0,3.0,4.0,4.0,NSGA2
communities,feat_nsga2,9296,1.0,5.0,5.0,2.0,5.0,4.0,NSGA2
communities,feat_nsga2,9540,3.0,6.0,6.0,4.0,7.0,5.0,NSGA2
communities,feat_nsga2,9675,4.0,7.0,6.0,4.0,7.0,6.0,NSGA2
communities,feat_nsga2,10102,2.0,5.0,4.0,3.0,7.0,5.0,NSGA2
communities,feat_nsga2,10132,3.0,3.0,3.0,3.0,4.0,4.0,NSGA2
communities,feat_nsga2,10197,6.0,7.0,5.0,6.0,7.0,5.0,NSGA2
communities,feat_nsga2,12092,6.0,6.0,6.0,6.0,7.0,5.0,NSGA2
communities,feat_nsga2,12498,4.0,8.0,6.0,4.0,7.0,7.0,NSGA2
communities,feat_nsga2,12669,6.0,7.0,6.0,6.0,8.0,8.0,NSGA2
communities,feat_nsga2,13352,5.0,7.0,5.0,5.0,5.0,3.0,NSGA2
communities,feat_nsga2,14289,4.0,4.0,4.0,4.0,4.0,4.0,NSGA2
communities,feat_nsga2,14724,4.0,5.0,5.0,4.0,5.0,4.0,NSGA2
communities,feat_nsga2,15860,3.0,5.0,4.0,3.0,6.0,4.0,NSGA2
communities,feat_nsga2,16695,2.0,4.0,4.0,5.0,7.0,5.0,NSGA2
communities,feat_nsga2,18313,2.0,4.0,4.0,4.0,5.0,4.0,NSGA2
communities,feat_nsga2,18998,6.0,6.0,6.0,6.0,8.0,6.0,NSGA2
communities,feat_nsga2,19863,4.0,4.0,3.0,6.0,7.0,5.0,NSGA2
communities,feat_nsga2,20300,5.0,7.0,5.0,6.0,7.0,7.0,NSGA2
communities,feat_nsga2,20404,4.0,6.0,4.0,6.0,8.0,7.0,NSGA2
communities,feat_nsga2,21353,3.0,6.0,4.0,4.0,5.0,3.0,NSGA2
communities,feat_nsga2,21924,4.0,4.0,4.0,4.0,5.0,4.0,NSGA2
communities,feat_nsga2,22571,2.0,3.0,2.0,3.0,4.0,4.0,NSGA2
communities,feat_nsga2,22727,6.0,4.0,4.0,6.0,6.0,4.0,NSGA2
communities,feat_nsga2,24284,5.0,5.0,4.0,5.0,7.0,5.0,NSGA2
communities,feat_nsga2,24481,5.0,4.0,3.0,5.0,6.0,4.0,NSGA2
communities,feat_nsga2,25349,4.0,3.0,3.0,6.0,7.0,6.0,NSGA2
communities,feat_nsga2,26311,4.0,4.0,3.0,4.0,6.0,4.0,NSGA2
communities,feat_nsga2,27690,4.0,3.0,3.0,4.0,4.0,4.0,NSGA2
communities,feat_nsga2,28699,3.0,5.0,5.0,2.0,5.0,5.0,NSGA2
communities,feat_nsga2,29198,4.0,4.0,4.0,5.0,8.0,6.0,NSGA2
communities,feat_nsga2,29756,1.0,5.0,5.0,1.0,7.0,6.0,NSGA2
communities,feat_nsga2,29759,2.0,3.0,3.0,4.0,6.0,4.0,NSGA2
communities,feat_nsga2,30132,2.0,2.0,2.0,2.0,6.0,5.0,NSGA2
communities,feat_nsga2,31658,5.0,5.0,5.0,5.0,8.0,6.0,NSGA2
communities,feat_nsga2,32400,3.0,3.0,3.0,5.0,8.0,6.0,NSGA2
communities,feat_random_p100_g0,871,2.0,1.0,1.0,2.0,1.0,1.0,Random
communities,feat_random_p100_g0,1318,3.0,1.0,1.0,4.0,1.0,1.0,Random
communities,feat_random_p100_g0,2917,3.0,1.0,1.0,4.0,1.0,1.0,Random
communities,feat_random_p100_g0,4719,2.0,1.0,1.0,2.0,2.0,2.0,Random
communities,feat_random_p100_g0,4866,5.0,3.0,3.0,5.0,3.0,3.0,Random
communities,feat_random_p100_g0,5740,3.0,1.0,1.0,3.0,1.0,1.0,Random
communities,feat_random_p100_g0,6126,2.0,1.0,1.0,2.0,1.0,1.0,Random
communities,feat_random_p100_g0,6654,1.0,1.0,1.0,1.0,1.0,1.0,Random
communities,feat_random_p100_g0,6832,1.0,1.0,1.0,2.0,1.0,1.0,Random
communities,feat_random_p100_g0,6933,3.0,2.0,2.0,3.0,1.0,1.0,Random
communities,feat_random_p100_g0,7376,3.0,1.0,1.0,3.0,1.0,1.0,Random
communities,feat_random_p100_g0,8233,2.0,3.0,3.0,2.0,3.0,3.0,Random
communities,feat_random_p100_g0,8653,3.0,1.0,1.0,2.0,2.0,1.0,Random
communities,feat_random_p100_g0,9271,2.0,1.0,1.0,2.0,1.0,1.0,Random
communities,feat_random_p100_g0,9292,4.0,1.0,1.0,4.0,1.0,1.0,Random
communities,feat_random_p100_g0,9296,3.0,2.0,2.0,3.0,2.0,2.0,Random
communities,feat_random_p100_g0,9540,2.0,1.0,1.0,3.0,1.0,1.0,Random
communities,feat_random_p100_g0,9675,6.0,4.0,4.0,6.0,3.0,3.0,Random
communities,feat_random_p100_g0,10102,4.0,1.0,1.0,4.0,1.0,1.0,Random
communities,feat_random_p100_g0,10132,1.0,1.0,1.0,1.0,1.0,1.0,Random
communities,feat_random_p100_g0,10197,3.0,3.0,3.0,3.0,2.0,3.0,Random
communities,feat_random_p100_g0,12092,1.0,1.0,1.0,1.0,1.0,1.0,Random
communities,feat_random_p100_g0,12498,2.0,1.0,1.0,2.0,1.0,1.0,Random
communities,feat_random_p100_g0,12669,1.0,1.0,1.0,3.0,1.0,1.0,Random
communities,feat_random_p100_g0,13352,4.0,1.0,1.0,3.0,1.0,1.0,Random
communities,feat_random_p100_g0,14289,3.0,1.0,1.0,3.0,1.0,1.0,Random
communities,feat_random_p100_g0,14724,3.0,1.0,1.0,2.0,1.0,1.0,Random
communities,feat_random_p100_g0,15860,5.0,2.0,2.0,4.0,2.0,2.0,Random
communities,feat_random_p100_g0,16695,1.0,2.0,2.0,1.0,2.0,2.0,Random
communities,feat_random_p100_g0,18313,6.0,1.0,1.0,6.0,2.0,2.0,Random
communities,feat_random_p100_g0,18998,5.0,2.0,2.0,5.0,3.0,3.0,Random
communities,feat_random_p100_g0,19863,1.0,1.0,1.0,1.0,1.0,1.0,Random
communities,feat_random_p100_g0,20300,4.0,1.0,1.0,4.0,1.0,1.0,Random
communities,feat_random_p100_g0,20404,1.0,3.0,3.0,1.0,3.0,3.0,Random
communities,feat_random_p100_g0,21353,1.0,1.0,1.0,1.0,1.0,1.0,Random
communities,feat_random_p100_g0,21924,3.0,1.0,1.0,3.0,1.0,1.0,Random
communities,feat_random_p100_g0,22571,3.0,2.0,3.0,2.0,1.0,1.0,Random
communities,feat_random_p100_g0,22727,3.0,1.0,1.0,3.0,1.0,1.0,Random
communities,feat_random_p100_g0,24284,4.0,2.0,1.0,3.0,2.0,1.0,Random
communities,feat_random_p100_g0,24481,2.0,2.0,2.0,2.0,2.0,2.0,Random
communities,feat_random_p100_g0,25349,2.0,1.0,1.0,2.0,1.0,1.0,Random
communities,feat_random_p100_g0,26311,3.0,1.0,1.0,3.0,1.0,1.0,Random
communities,feat_random_p100_g0,27690,1.0,1.0,1.0,1.0,1.0,1.0,Random
communities,feat_random_p100_g0,28699,4.0,1.0,1.0,4.0,1.0,1.0,Random
communities,feat_random_p100_g0,29198,3.0,1.0,1.0,3.0,2.0,2.0,Random
communities,feat_random_p100_g0,29756,4.0,1.0,1.0,4.0,1.0,1.0,Random
communities,feat_random_p100_g0,29759,3.0,1.0,1.0,2.0,1.0,1.0,Random
communities,feat_random_p100_g0,30132,1.0,1.0,1.0,1.0,1.0,1.0,Random
communities,feat_random_p100_g0,31658,1.0,1.0,1.0,1.0,1.0,1.0,Random
communities,feat_random_p100_g0,32400,1.0,1.0,1.0,2.0,1.0,1.0,Random
communities,feat_tourn,871,5.0,6.0,5.0,5.0,5.0,4.0,Tourn
communities,feat_tourn,1318,4.0,5.0,5.0,2.0,4.0,4.0,Tourn
communities,feat_tourn,2917,5.0,7.0,7.0,5.0,8.0,7.0,Tourn
communities,feat_tourn,4719,5.0,3.0,3.0,5.0,3.0,3.0,Tourn
communities,feat_tourn,4866,6.0,8.0,6.0,6.0,7.0,6.0,Tourn
communities,feat_tourn,5740,1.0,4.0,3.0,2.0,3.0,3.0,Tourn
communities,feat_tourn,6126,5.0,8.0,6.0,4.0,7.0,5.0,Tourn
communities,feat_tourn,6654,5.0,8.0,8.0,5.0,8.0,8.0,Tourn
communities,feat_tourn,6832,4.0,5.0,4.0,4.0,5.0,4.0,Tourn
communities,feat_tourn,6933,6.0,6.0,6.0,6.0,8.0,6.0,Tourn
communities,feat_tourn,7376,1.0,2.0,2.0,1.0,2.0,2.0,Tourn
communities,feat_tourn,8233,5.0,7.0,6.0,5.0,5.0,4.0,Tourn
communities,feat_tourn,8653,4.0,3.0,3.0,5.0,7.0,5.0,Tourn
communities,feat_tourn,9271,5.0,5.0,5.0,6.0,7.0,5.0,Tourn
communities,feat_tourn,9292,5.0,6.0,6.0,5.0,7.0,6.0,Tourn
communities,feat_tourn,9296,6.0,7.0,6.0,6.0,8.0,6.0,Tourn
communities,feat_tourn,9540,5.0,3.0,3.0,5.0,6.0,4.0,Tourn
communities,feat_tourn,9675,2.0,1.0,1.0,2.0,2.0,2.0,Tourn
communities,feat_tourn,10102,5.0,8.0,6.0,5.0,6.0,4.0,Tourn
communities,feat_tourn,10132,5.0,7.0,6.0,4.0,7.0,5.0,Tourn
communities,feat_tourn,10197,5.0,8.0,6.0,5.0,8.0,6.0,Tourn
communities,feat_tourn,12092,3.0,4.0,4.0,3.0,4.0,4.0,Tourn
communities,feat_tourn,12498,5.0,7.0,5.0,6.0,8.0,8.0,Tourn
communities,feat_tourn,12669,4.0,6.0,5.0,2.0,4.0,3.0,Tourn
communities,feat_tourn,13352,2.0,2.0,2.0,6.0,7.0,5.0,Tourn
communities,feat_tourn,14289,5.0,2.0,2.0,5.0,3.0,3.0,Tourn
communities,feat_tourn,14724,6.0,6.0,6.0,5.0,6.0,5.0,Tourn
communities,feat_tourn,15860,6.0,8.0,6.0,6.0,8.0,6.0,Tourn
communities,feat_tourn,16695,3.0,5.0,5.0,2.0,4.0,4.0,Tourn
communities,feat_tourn,18313,5.0,7.0,6.0,3.0,8.0,6.0,Tourn
communities,feat_tourn,18998,1.0,1.0,1.0,1.0,2.0,2.0,Tourn
communities,feat_tourn,19863,6.0,8.0,6.0,5.0,8.0,6.0,Tourn
communities,feat_tourn,20300,6.0,8.0,8.0,5.0,8.0,8.0,Tourn
communities,feat_tourn,20404,3.0,7.0,5.0,2.0,6.0,4.0,Tourn
communities,feat_tourn,21353,6.0,8.0,6.0,3.0,7.0,5.0,Tourn
communities,feat_tourn,21924,6.0,8.0,6.0,6.0,8.0,6.0,Tourn
communities,feat_tourn,22571,5.0,6.0,6.0,5.0,8.0,6.0,Tourn
communities,feat_tourn,22727,5.0,8.0,6.0,5.0,7.0,6.0,Tourn
communities,feat_tourn,24284,6.0,8.0,6.0,6.0,8.0,7.0,Tourn
communities,feat_tourn,24481,3.0,7.0,5.0,4.0,7.0,5.0,Tourn
communities,feat_tourn,25349,5.0,8.0,6.0,3.0,6.0,4.0,Tourn
communities,feat_tourn,26311,6.0,8.0,7.0,6.0,8.0,6.0,Tourn
communities,feat_tourn,27690,5.0,7.0,5.0,5.0,7.0,5.0,Tourn
communities,feat_tourn,28699,5.0,2.0,2.0,5.0,2.0,2.0,Tourn
communities,feat_tourn,29198,5.0,6.0,6.0,4.0,5.0,4.0,Tourn
communities,feat_tourn,29756,5.0,8.0,6.0,5.0,8.0,8.0,Tourn
communities,feat_tourn,29759,6.0,8.0,6.0,6.0,7.0,5.0,Tourn
communities,feat_tourn,30132,6.0,8.0,6.0,3.0,8.0,6.0,Tourn
communities,feat_tourn,31658,2.0,7.0,4.0,3.0,5.0,3.0,Tourn
communities,feat_tourn,32400,5.0,5.0,5.0,1.0,3.0,3.0,Tourn
communities,gerryfair,871,7.0,4.0,7.0,7.0,4.0,6.0,GerryFair
communities,gerryfair,1318,7.0,8.0,8.0,7.0,7.0,8.0,GerryFair
communities,gerryfair,2917,8.0,8.0,8.0,8.0,6.0,8.0,GerryFair
communities,gerryfair,4719,7.0,5.0,8.0,7.0,5.0,7.0,GerryFair
communities,gerryfair,4866,7.0,7.0,8.0,7.0,8.0,8.0,GerryFair
communities,gerryfair,5740,7.0,7.0,8.0,7.0,6.0,8.0,GerryFair
communities,gerryfair,6126,7.0,4.0,7.0,7.0,4.0,7.0,GerryFair
communities,gerryfair,6654,7.0,3.0,7.0,7.0,3.0,6.0,GerryFair
communities,gerryfair,6832,7.0,8.0,8.0,7.0,7.0,8.0,GerryFair
communities,gerryfair,6933,7.0,8.0,8.0,7.0,6.0,8.0,GerryFair
communities,gerryfair,7376,7.0,3.0,7.0,7.0,5.0,7.0,GerryFair
communities,gerryfair,8233,7.0,5.0,7.0,7.0,4.0,7.0,GerryFair
communities,gerryfair,8653,8.0,7.0,8.0,8.0,5.0,8.0,GerryFair
communities,gerryfair,9271,7.0,8.0,8.0,7.0,4.0,8.0,GerryFair
communities,gerryfair,9292,7.0,8.0,8.0,7.0,5.0,7.0,GerryFair
communities,gerryfair,9296,7.0,6.0,7.0,7.0,4.0,7.0,GerryFair
communities,gerryfair,9540,7.0,7.0,8.0,7.0,4.0,8.0,GerryFair
communities,gerryfair,9675,7.0,5.0,8.0,7.0,6.0,8.0,GerryFair
communities,gerryfair,10102,7.0,6.0,7.0,7.0,5.0,7.0,GerryFair
communities,gerryfair,10132,8.0,8.0,8.0,8.0,6.0,6.0,GerryFair
communities,gerryfair,10197,7.0,6.0,8.0,7.0,5.0,8.0,GerryFair
communities,gerryfair,12092,7.0,8.0,8.0,7.0,5.0,8.0,GerryFair
communities,gerryfair,12498,7.0,4.0,8.0,7.0,4.0,5.0,GerryFair
communities,gerryfair,12669,7.0,3.0,7.0,7.0,3.0,7.0,GerryFair
communities,gerryfair,13352,8.0,4.0,7.0,8.0,4.0,7.0,GerryFair
communities,gerryfair,14289,7.0,7.0,8.0,7.0,7.0,8.0,GerryFair
communities,gerryfair,14724,7.0,8.0,8.0,7.0,4.0,7.0,GerryFair
communities,gerryfair,15860,7.0,6.0,8.0,7.0,5.0,8.0,GerryFair
communities,gerryfair,16695,7.0,8.0,8.0,7.0,5.0,8.0,GerryFair
communities,gerryfair,18313,7.0,6.0,7.0,7.0,4.0,7.0,GerryFair
communities,gerryfair,18998,7.0,8.0,8.0,7.0,7.0,8.0,GerryFair
communities,gerryfair,19863,7.0,6.0,8.0,7.0,4.0,8.0,GerryFair
communities,gerryfair,20300,7.0,4.0,7.0,7.0,5.0,6.0,GerryFair
communities,gerryfair,20404,8.0,4.0,7.0,7.0,4.0,6.0,GerryFair
communities,gerryfair,21353,7.0,2.0,7.0,7.0,3.0,7.0,GerryFair
communities,gerryfair,21924,7.0,6.0,7.0,7.0,4.0,7.0,GerryFair
communities,gerryfair,22571,7.0,7.0,7.0,7.0,5.0,7.0,GerryFair
communities,gerryfair,22727,7.0,6.0,8.0,7.0,4.0,7.0,GerryFair
communities,gerryfair,24284,8.0,6.0,8.0,8.0,4.0,8.0,GerryFair
communities,gerryfair,24481,7.0,5.0,8.0,7.0,4.0,8.0,GerryFair
communities,gerryfair,25349,7.0,6.0,7.0,7.0,3.0,5.0,GerryFair
communities,gerryfair,26311,7.0,7.0,8.0,7.0,5.0,8.0,GerryFair
communities,gerryfair,27690,7.0,5.0,8.0,7.0,6.0,8.0,GerryFair
communities,gerryfair,28699,7.0,6.0,8.0,7.0,6.0,8.0,GerryFair
communities,gerryfair,29198,7.0,7.0,7.0,7.0,4.0,7.0,GerryFair
communities,gerryfair,29756,8.0,7.0,7.0,8.0,4.0,4.0,GerryFair
communities,gerryfair,29759,8.0,4.0,7.0,8.0,4.0,7.0,GerryFair
communities,gerryfair,30132,8.0,6.0,7.0,7.0,2.0,7.0,GerryFair
communities,gerryfair,31658,7.0,2.0,7.0,7.0,3.0,7.0,GerryFair
communities,gerryfair,32400,7.0,7.0,8.0,7.0,6.0,8.0,GerryFair
communities,gerryfair_xgb,871,8.0,8.0,8.0,8.0,6.0,8.0,GerryFairGB
communities,gerryfair_xgb,1318,8.0,7.0,7.0,8.0,8.0,7.0,GerryFairGB
communities,gerryfair_xgb,2917,7.0,4.0,6.0,7.0,2.0,5.0,GerryFairGB
communities,gerryfair_xgb,4719,8.0,6.0,7.0,8.0,6.0,8.0,GerryFairGB
communities,gerryfair_xgb,4866,8.0,5.0,7.0,8.0,5.0,7.0,GerryFairGB
communities,gerryfair_xgb,5740,8.0,3.0,7.0,8.0,4.0,7.0,GerryFairGB
communities,gerryfair_xgb,6126,8.0,5.0,8.0,8.0,5.0,8.0,GerryFairGB
communities,gerryfair_xgb,6654,8.0,5.0,6.0,8.0,4.0,7.0,GerryFairGB
communities,gerryfair_xgb,6832,8.0,2.0,7.0,8.0,3.0,7.0,GerryFairGB
communities,gerryfair_xgb,6933,8.0,7.0,7.0,8.0,7.0,7.0,GerryFairGB
communities,gerryfair_xgb,7376,8.0,8.0,8.0,8.0,4.0,5.0,GerryFairGB
communities,gerryfair_xgb,8233,8.0,8.0,8.0,8.0,7.0,8.0,GerryFairGB
communities,gerryfair_xgb,8653,7.0,6.0,6.0,7.0,1.0,6.0,GerryFairGB
communities,gerryfair_xgb,9271,8.0,7.0,7.0,8.0,5.0,7.0,GerryFairGB
communities,gerryfair_xgb,9292,8.0,7.0,7.0,8.0,8.0,8.0,GerryFairGB
communities,gerryfair_xgb,9296,8.0,8.0,8.0,8.0,6.0,8.0,GerryFairGB
communities,gerryfair_xgb,9540,8.0,8.0,7.0,8.0,5.0,7.0,GerryFairGB
communities,gerryfair_xgb,9675,8.0,8.0,7.0,8.0,5.0,5.0,GerryFairGB
communities,gerryfair_xgb,10102,8.0,3.0,8.0,8.0,4.0,8.0,GerryFairGB
communities,gerryfair_xgb,10132,7.0,6.0,7.0,7.0,5.0,7.0,GerryFairGB
communities,gerryfair_xgb,10197,8.0,4.0,7.0,8.0,4.0,7.0,GerryFairGB
communities,gerryfair_xgb,12092,8.0,7.0,7.0,8.0,6.0,7.0,GerryFairGB
communities,gerryfair_xgb,12498,8.0,5.0,7.0,8.0,5.0,4.0,GerryFairGB
communities,gerryfair_xgb,12669,8.0,8.0,8.0,8.0,6.0,6.0,GerryFairGB
communities,gerryfair_xgb,13352,7.0,3.0,8.0,7.0,3.0,8.0,GerryFairGB
communities,gerryfair_xgb,14289,8.0,6.0,7.0,8.0,5.0,6.0,GerryFairGB
communities,gerryfair_xgb,14724,8.0,7.0,7.0,8.0,7.0,8.0,GerryFairGB
communities,gerryfair_xgb,15860,8.0,4.0,7.0,8.0,4.0,7.0,GerryFairGB
communities,gerryfair_xgb,16695,8.0,7.0,7.0,8.0,6.0,7.0,GerryFairGB
communities,gerryfair_xgb,18313,8.0,8.0,8.0,8.0,6.0,8.0,GerryFairGB
communities,gerryfair_xgb,18998,8.0,7.0,7.0,8.0,4.0,7.0,GerryFairGB
communities,gerryfair_xgb,19863,8.0,3.0,7.0,8.0,3.0,7.0,GerryFairGB
communities,gerryfair_xgb,20300,8.0,6.0,6.0,8.0,4.0,5.0,GerryFairGB
communities,gerryfair_xgb,20404,7.0,5.0,8.0,8.0,5.0,8.0,GerryFairGB
communities,gerryfair_xgb,21353,8.0,4.0,8.0,8.0,4.0,8.0,GerryFairGB
communities,gerryfair_xgb,21924,8.0,7.0,8.0,8.0,7.0,8.0,GerryFairGB
communities,gerryfair_xgb,22571,8.0,8.0,8.0,8.0,7.0,8.0,GerryFairGB
communities,gerryfair_xgb,22727,8.0,5.0,7.0,8.0,5.0,5.0,GerryFairGB
communities,gerryfair_xgb,24284,7.0,1.0,7.0,7.0,1.0,6.0,GerryFairGB
communities,gerryfair_xgb,24481,8.0,3.0,7.0,8.0,3.0,7.0,GerryFairGB
communities,gerryfair_xgb,25349,8.0,7.0,8.0,8.0,5.0,8.0,GerryFairGB
communities,gerryfair_xgb,26311,8.0,6.0,6.0,8.0,4.0,7.0,GerryFairGB
communities,gerryfair_xgb,27690,8.0,6.0,7.0,8.0,5.0,6.0,GerryFairGB
communities,gerryfair_xgb,28699,8.0,8.0,7.0,8.0,7.0,7.0,GerryFairGB
communities,gerryfair_xgb,29198,8.0,8.0,8.0,8.0,6.0,8.0,GerryFairGB
communities,gerryfair_xgb,29756,7.0,6.0,8.0,7.0,3.0,7.0,GerryFairGB
communities,gerryfair_xgb,29759,7.0,6.0,8.0,7.0,5.0,8.0,GerryFairGB
