dataset,method,seed,rank_hv(auditor_fn_violation:accuracy),rank_hv(auditor_fn_violation:auc_prc),rank_hv(auditor_fn_violation:ave_precision_score),rank_hv(auditor_fp_violation:accuracy),rank_hv(auditor_fp_violation:auc_prc),rank_hv(auditor_fp_violation:ave_precision_score),method_nice
lawschool,feat_tourn,8653,3.0,1.0,1.0,3.0,1.0,1.0,Tourn
lawschool,feat_tourn,9271,4.0,8.0,6.0,4.0,8.0,6.0,Tourn
lawschool,feat_tourn,9292,6.0,8.0,6.0,6.0,8.0,6.0,Tourn
lawschool,feat_tourn,9296,5.0,4.0,5.0,5.0,4.0,3.0,Tourn
lawschool,feat_tourn,9540,4.0,5.0,3.0,3.0,5.0,3.0,Tourn
lawschool,feat_tourn,9675,4.0,1.0,1.0,4.0,3.0,3.0,Tourn
lawschool,feat_tourn,10102,4.0,8.0,5.0,4.0,8.0,5.0,Tourn
lawschool,feat_tourn,10132,3.0,1.0,1.0,3.0,1.0,1.0,Tourn
lawschool,feat_tourn,10197,5.0,7.0,5.0,5.0,7.0,5.0,Tourn
lawschool,feat_tourn,12092,4.0,7.0,5.0,3.0,7.0,5.0,Tourn
lawschool,feat_tourn,12498,4.0,1.0,1.0,4.0,1.0,1.0,Tourn
lawschool,feat_tourn,12669,2.0,3.0,5.0,5.0,7.0,6.0,Tourn
lawschool,feat_tourn,13352,5.0,7.0,4.0,4.0,6.0,3.0,Tourn
lawschool,feat_tourn,14289,6.0,8.0,7.0,6.0,8.0,8.0,Tourn
lawschool,feat_tourn,14724,2.0,2.0,2.0,2.0,1.0,1.0,Tourn
lawschool,feat_tourn,15860,1.0,1.0,1.0,1.0,1.0,1.0,Tourn
lawschool,feat_tourn,16695,5.0,8.0,6.0,5.0,8.0,6.0,Tourn
lawschool,feat_tourn,18313,6.0,8.0,8.0,6.0,8.0,8.0,Tourn
lawschool,feat_tourn,18998,4.0,6.0,4.0,4.0,6.0,4.0,Tourn
lawschool,feat_tourn,19863,5.0,8.0,8.0,5.0,8.0,8.0,Tourn
lawschool,feat_tourn,20300,5.0,6.0,5.0,5.0,7.0,5.0,Tourn
lawschool,feat_tourn,20404,4.0,7.0,5.0,4.0,6.0,5.0,Tourn
lawschool,feat_tourn,21353,3.0,5.0,3.0,3.0,4.0,2.0,Tourn
lawschool,feat_tourn,21924,4.0,5.0,4.0,4.0,6.0,5.0,Tourn
lawschool,feat_tourn,22571,5.0,7.0,5.0,6.0,7.0,5.0,Tourn
lawschool,feat_tourn,22727,3.0,3.0,2.0,3.0,2.0,1.0,Tourn
lawschool,feat_tourn,24284,2.0,1.0,1.0,2.0,1.0,1.0,Tourn
lawschool,feat_tourn,24481,5.0,6.0,5.0,5.0,7.0,5.0,Tourn
lawschool,feat_tourn,25349,5.0,8.0,6.0,3.0,7.0,5.0,Tourn
lawschool,feat_tourn,26311,4.0,7.0,4.0,4.0,6.0,4.0,Tourn
lawschool,feat_tourn,27690,4.0,3.0,3.0,4.0,1.0,1.0,Tourn
lawschool,feat_tourn,28699,6.0,8.0,8.0,6.0,8.0,8.0,Tourn
lawschool,feat_tourn,29198,6.0,8.0,6.0,6.0,8.0,6.0,Tourn
lawschool,feat_tourn,29756,3.0,5.0,3.0,4.0,6.0,4.0,Tourn
lawschool,feat_tourn,29759,3.0,8.0,7.0,4.0,8.0,7.0,Tourn
lawschool,feat_tourn,30132,4.0,6.0,4.0,4.0,6.0,4.0,Tourn
lawschool,feat_tourn,31658,5.0,5.0,4.0,5.0,5.0,4.0,Tourn
lawschool,feat_tourn,32400,5.0,7.0,6.0,5.0,7.0,6.0,Tourn
lawschool,gerryfair,871,7.0,1.0,5.0,7.0,1.0,5.0,GerryFair
lawschool,gerryfair,1318,7.0,4.0,7.0,8.0,4.0,7.0,GerryFair
lawschool,gerryfair,2917,8.0,5.0,8.0,8.0,2.0,8.0,GerryFair
lawschool,gerryfair,4719,7.0,6.0,7.0,7.0,6.0,7.0,GerryFair
lawschool,gerryfair,4866,8.0,1.0,1.0,8.0,1.0,5.0,GerryFair
lawschool,gerryfair,5740,7.0,5.0,7.0,7.0,3.0,7.0,GerryFair
lawschool,gerryfair,6126,7.0,1.0,6.0,7.0,1.0,5.0,GerryFair
lawschool,gerryfair,6654,8.0,2.0,7.0,8.0,2.0,7.0,GerryFair
lawschool,gerryfair,6832,8.0,2.0,4.0,8.0,1.0,4.0,GerryFair
lawschool,gerryfair,6933,7.0,5.0,8.0,7.0,6.0,8.0,GerryFair
lawschool,gerryfair,7376,7.0,7.0,8.0,7.0,2.0,7.0,GerryFair
lawschool,gerryfair,8233,7.0,2.0,7.0,7.0,2.0,7.0,GerryFair
lawschool,gerryfair,8653,7.0,6.0,8.0,7.0,5.0,8.0,GerryFair
lawschool,gerryfair,9271,7.0,6.0,8.0,7.0,6.0,8.0,GerryFair
lawschool,gerryfair,9292,7.0,3.0,7.0,7.0,3.0,7.0,GerryFair
lawschool,gerryfair,9296,7.0,7.0,8.0,7.0,3.0,7.0,GerryFair
lawschool,gerryfair,9540,7.0,2.0,6.0,7.0,1.0,6.0,GerryFair
lawschool,gerryfair,9675,7.0,3.0,6.0,7.0,2.0,6.0,GerryFair
lawschool,gerryfair,10102,7.0,7.0,8.0,7.0,7.0,8.0,GerryFair
lawschool,gerryfair,10132,7.0,4.0,7.0,7.0,2.0,6.0,GerryFair
lawschool,gerryfair,10197,7.0,5.0,8.0,7.0,4.0,8.0,GerryFair
lawschool,gerryfair,12092,7.0,4.0,8.0,7.0,3.0,7.0,GerryFair
lawschool,gerryfair,12498,7.0,6.0,7.0,7.0,3.0,7.0,GerryFair
lawschool,gerryfair,12669,7.0,2.0,7.0,7.0,1.0,7.0,GerryFair
lawschool,gerryfair,13352,7.0,1.0,7.0,7.0,2.0,7.0,GerryFair
lawschool,gerryfair,14289,7.0,4.0,6.0,7.0,1.0,5.0,GerryFair
lawschool,gerryfair,14724,7.0,7.0,8.0,7.0,7.0,8.0,GerryFair
lawschool,gerryfair,15860,7.0,6.0,8.0,7.0,7.0,8.0,GerryFair
lawschool,gerryfair,16695,7.0,3.0,8.0,7.0,3.0,8.0,GerryFair
lawschool,gerryfair,18313,7.0,5.0,7.0,7.0,5.0,7.0,GerryFair
lawschool,gerryfair,18998,7.0,2.0,6.0,7.0,1.0,5.0,GerryFair
lawschool,gerryfair,19863,7.0,3.0,5.0,7.0,1.0,4.0,GerryFair
lawschool,gerryfair,20300,7.0,7.0,8.0,7.0,4.0,8.0,GerryFair
lawschool,gerryfair,20404,7.0,4.0,7.0,7.0,1.0,7.0,GerryFair
lawschool,gerryfair,21353,7.0,3.0,7.0,7.0,3.0,7.0,GerryFair
lawschool,gerryfair,21924,7.0,2.0,5.0,7.0,1.0,4.0,GerryFair
lawschool,gerryfair,22571,7.0,5.0,7.0,7.0,6.0,7.0,GerryFair
lawschool,gerryfair,22727,7.0,1.0,5.0,7.0,1.0,5.0,GerryFair
lawschool,gerryfair,24284,7.0,7.0,8.0,7.0,6.0,8.0,GerryFair
lawschool,gerryfair,24481,8.0,7.0,8.0,8.0,2.0,6.0,GerryFair
lawschool,gerryfair,25349,7.0,7.0,8.0,7.0,3.0,7.0,GerryFair
lawschool,gerryfair,26311,7.0,2.0,8.0,7.0,3.0,8.0,GerryFair
lawschool,gerryfair,27690,8.0,6.0,8.0,8.0,6.0,8.0,GerryFair
lawschool,gerryfair,28699,7.0,4.0,6.0,7.0,1.0,5.0,GerryFair
lawschool,gerryfair,29198,7.0,5.0,8.0,7.0,2.0,8.0,GerryFair
lawschool,gerryfair,29756,8.0,2.0,7.0,8.0,2.0,7.0,GerryFair
lawschool,gerryfair,29759,7.0,4.0,6.0,7.0,4.0,6.0,GerryFair
lawschool,gerryfair,30132,7.0,4.0,7.0,7.0,5.0,7.0,GerryFair
lawschool,gerryfair,31658,7.0,3.0,6.0,7.0,4.0,6.0,GerryFair
lawschool,gerryfair,32400,7.0,1.0,1.0,7.0,1.0,1.0,GerryFair
lawschool,gerryfair_xgb,871,8.0,6.0,7.0,8.0,5.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,1318,8.0,5.0,8.0,7.0,5.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,2917,7.0,2.0,7.0,7.0,3.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,4719,8.0,5.0,6.0,8.0,5.0,6.0,GerryFairGB
lawschool,gerryfair_xgb,4866,7.0,6.0,8.0,7.0,6.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,5740,8.0,7.0,8.0,8.0,7.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,6126,8.0,5.0,8.0,8.0,4.0,6.0,GerryFairGB
lawschool,gerryfair_xgb,6654,7.0,5.0,6.0,7.0,5.0,6.0,GerryFairGB
lawschool,gerryfair_xgb,6832,7.0,5.0,8.0,7.0,5.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,6933,8.0,8.0,7.0,8.0,5.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,7376,8.0,4.0,7.0,8.0,5.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,8233,8.0,5.0,8.0,8.0,7.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,8653,8.0,5.0,7.0,8.0,4.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,9271,8.0,5.0,7.0,8.0,5.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,9292,8.0,4.0,8.0,8.0,4.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,9296,8.0,6.0,7.0,8.0,7.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,9540,8.0,6.0,7.0,8.0,2.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,9675,8.0,6.0,8.0,8.0,5.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,10102,8.0,6.0,6.0,8.0,6.0,6.0,GerryFairGB
lawschool,gerryfair_xgb,10132,8.0,6.0,8.0,8.0,5.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,10197,8.0,3.0,7.0,8.0,3.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,12092,8.0,5.0,7.0,8.0,4.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,12498,8.0,8.0,8.0,8.0,7.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,12669,8.0,4.0,8.0,8.0,3.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,13352,8.0,3.0,6.0,8.0,4.0,6.0,GerryFairGB
lawschool,gerryfair_xgb,14289,8.0,6.0,8.0,8.0,2.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,14724,8.0,6.0,7.0,8.0,6.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,15860,8.0,3.0,7.0,8.0,3.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,16695,8.0,5.0,7.0,8.0,5.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,18313,8.0,4.0,6.0,8.0,4.0,6.0,GerryFairGB
lawschool,gerryfair_xgb,18998,8.0,5.0,8.0,8.0,5.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,19863,8.0,4.0,7.0,8.0,3.0,6.0,GerryFairGB
lawschool,gerryfair_xgb,20300,8.0,2.0,7.0,8.0,1.0,6.0,GerryFairGB
lawschool,gerryfair_xgb,20404,8.0,5.0,8.0,8.0,8.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,21353,8.0,4.0,6.0,8.0,2.0,6.0,GerryFairGB
lawschool,gerryfair_xgb,21924,8.0,6.0,6.0,8.0,5.0,6.0,GerryFairGB
lawschool,gerryfair_xgb,22571,8.0,4.0,8.0,8.0,4.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,22727,8.0,2.0,6.0,8.0,5.0,6.0,GerryFairGB
lawschool,gerryfair_xgb,24284,8.0,5.0,7.0,8.0,3.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,24481,7.0,2.0,6.0,7.0,5.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,25349,8.0,6.0,7.0,8.0,6.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,26311,8.0,4.0,6.0,8.0,1.0,5.0,GerryFairGB
lawschool,gerryfair_xgb,27690,7.0,5.0,6.0,7.0,5.0,6.0,GerryFairGB
lawschool,gerryfair_xgb,28699,8.0,6.0,7.0,8.0,5.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,29198,8.0,3.0,7.0,8.0,1.0,7.0,GerryFairGB
lawschool,gerryfair_xgb,29756,7.0,4.0,8.0,7.0,4.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,29759,8.0,5.0,8.0,8.0,6.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,30132,8.0,5.0,6.0,8.0,4.0,6.0,GerryFairGB
lawschool,gerryfair_xgb,31658,8.0,7.0,8.0,8.0,7.0,8.0,GerryFairGB
lawschool,gerryfair_xgb,32400,8.0,3.0,7.0,8.0,3.0,7.0,GerryFairGB
student,feat_flex2,871,2.0,7.0,3.0,2.0,7.0,2.0,FLEX
student,feat_flex2,1318,2.0,7.0,3.0,2.0,7.0,3.0,FLEX
student,feat_flex2,2917,6.0,6.0,4.0,6.0,7.0,3.0,FLEX
student,feat_flex2,4719,4.0,6.0,4.0,4.0,6.0,4.0,FLEX
student,feat_flex2,4866,1.0,2.0,2.0,1.0,2.0,2.0,FLEX
student,feat_flex2,5740,6.0,8.0,5.0,6.0,8.0,5.0,FLEX
student,feat_flex2,6126,6.0,8.0,8.0,5.0,8.0,8.0,FLEX
student,feat_flex2,6654,5.0,7.0,4.0,6.0,7.0,5.0,FLEX
student,feat_flex2,6832,5.0,4.0,3.0,5.0,4.0,3.0,FLEX
student,feat_flex2,6933,4.0,2.0,2.0,4.0,2.0,2.0,FLEX
student,feat_flex2,7376,6.0,8.0,6.0,6.0,8.0,6.0,FLEX
student,feat_flex2,8233,3.0,7.0,2.0,3.0,7.0,3.0,FLEX
student,feat_flex2,8653,5.0,8.0,4.0,5.0,8.0,5.0,FLEX
student,feat_flex2,9271,2.0,5.0,2.0,2.0,6.0,2.0,FLEX
student,feat_flex2,9292,4.0,8.0,6.0,3.0,8.0,6.0,FLEX
student,feat_flex2,9296,4.0,7.0,6.0,5.0,8.0,6.0,FLEX
student,feat_flex2,9540,4.0,8.0,4.0,3.0,8.0,4.0,FLEX
student,feat_flex2,9675,1.0,8.0,4.0,1.0,8.0,4.0,FLEX
student,feat_flex2,10102,4.0,8.0,5.0,4.0,8.0,4.0,FLEX
student,feat_flex2,10132,5.0,1.0,3.0,5.0,1.0,3.0,FLEX
student,feat_flex2,10197,4.0,7.0,4.0,4.0,7.0,4.0,FLEX
student,feat_flex2,12092,6.0,4.0,6.0,6.0,4.0,6.0,FLEX
student,feat_flex2,12498,3.0,5.0,3.0,3.0,5.0,3.0,FLEX
student,feat_flex2,12669,3.0,7.0,6.0,3.0,7.0,6.0,FLEX
student,feat_flex2,13352,4.0,1.0,5.0,4.0,1.0,5.0,FLEX
student,feat_flex2,14289,3.0,8.0,6.0,3.0,8.0,6.0,FLEX
student,feat_flex2,14724,5.0,7.0,4.0,5.0,8.0,5.0,FLEX
student,feat_flex2,15860,4.0,5.0,2.0,4.0,4.0,2.0,FLEX
student,feat_flex2,16695,2.0,5.0,3.0,2.0,6.0,3.0,FLEX
student,feat_flex2,18313,5.0,8.0,6.0,5.0,8.0,6.0,FLEX
student,feat_flex2,18998,3.0,7.0,7.0,3.0,7.0,8.0,FLEX
student,feat_flex2,19863,5.0,3.5,6.0,5.0,3.5,7.0,FLEX
student,feat_flex2,20300,4.0,7.0,5.0,4.0,7.0,7.0,FLEX
student,feat_flex2,20404,5.0,7.0,3.0,5.0,8.0,4.0,FLEX
student,feat_flex2,21353,3.0,6.0,4.0,5.0,7.0,6.0,FLEX
student,feat_flex2,21924,6.0,2.5,4.0,6.0,2.5,4.0,FLEX
student,feat_flex2,22571,2.0,6.0,4.0,2.0,6.0,4.0,FLEX
student,feat_flex2,22727,6.0,8.0,6.0,6.0,8.0,7.0,FLEX
student,feat_flex2,24284,4.0,4.0,3.0,4.0,5.0,3.0,FLEX
student,feat_flex2,24481,4.0,2.0,5.0,5.0,2.0,5.0,FLEX
student,feat_flex2,25349,5.0,7.0,4.0,5.0,8.0,4.0,FLEX
student,feat_flex2,26311,4.0,8.0,5.0,4.0,8.0,5.0,FLEX
student,feat_flex2,27690,6.0,8.0,5.0,6.0,7.0,6.0,FLEX
student,feat_flex2,28699,3.0,2.0,1.0,2.0,2.0,1.0,FLEX
student,feat_flex2,29198,4.0,8.0,5.0,4.0,8.0,5.0,FLEX
student,feat_flex2,29756,5.0,8.0,6.0,5.0,8.0,6.0,FLEX
student,feat_flex2,29759,4.0,7.0,3.0,2.0,6.0,2.0,FLEX
student,feat_flex2,30132,5.0,8.0,3.0,6.0,8.0,4.0,FLEX
student,feat_flex2,31658,6.0,8.0,7.0,6.0,8.0,7.0,FLEX
student,feat_flex2,32400,1.0,4.0,1.0,1.0,4.0,1.0,FLEX
student,feat_flex2_nsga2,871,4.0,2.0,4.0,4.0,3.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,1318,6.0,3.0,6.0,6.0,3.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,2917,4.0,4.0,6.0,4.0,4.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,4719,2.0,2.0,1.0,2.0,3.0,1.0,FLEX-NSGA2
student,feat_flex2_nsga2,4866,4.0,8.0,6.0,4.0,8.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,5740,3.0,2.0,4.0,3.0,2.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,6126,5.0,7.0,7.0,6.0,7.0,7.0,FLEX-NSGA2
student,feat_flex2_nsga2,6654,6.0,3.0,3.0,5.0,3.0,3.0,FLEX-NSGA2
student,feat_flex2_nsga2,6832,6.0,6.0,5.0,6.0,7.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,6933,3.0,8.0,6.0,3.0,8.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,7376,5.0,7.0,5.0,5.0,7.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,8233,4.0,1.0,6.0,4.0,1.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,8653,4.0,3.0,5.0,4.0,2.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,9271,5.0,1.0,6.0,6.0,1.0,7.0,FLEX-NSGA2
student,feat_flex2_nsga2,9292,3.0,6.0,3.0,4.0,7.0,3.0,FLEX-NSGA2
student,feat_flex2_nsga2,9296,1.0,2.0,1.0,1.0,2.0,1.0,FLEX-NSGA2
student,feat_flex2_nsga2,9540,5.0,1.5,7.0,5.0,1.5,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,9675,6.0,4.0,7.0,6.0,4.0,7.0,FLEX-NSGA2
student,feat_flex2_nsga2,10102,5.0,4.0,4.0,5.0,4.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,10132,4.0,2.5,4.0,4.0,2.5,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,10197,6.0,3.0,5.0,6.0,4.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,12092,4.0,2.0,5.0,5.0,2.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,12498,6.0,8.0,8.0,6.0,8.0,8.0,FLEX-NSGA2
student,feat_flex2_nsga2,12669,5.0,3.0,7.0,5.0,4.0,7.0,FLEX-NSGA2
student,feat_flex2_nsga2,13352,5.0,7.0,4.0,5.0,7.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,14289,6.0,7.0,3.0,6.0,7.0,3.0,FLEX-NSGA2
student,feat_flex2_nsga2,14724,6.0,8.0,5.0,6.0,7.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,15860,2.0,2.0,3.0,2.0,2.0,3.0,FLEX-NSGA2
student,feat_flex2_nsga2,16695,4.0,1.5,5.0,5.0,1.5,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,18313,2.0,3.0,2.0,4.0,2.0,2.0,FLEX-NSGA2
student,feat_flex2_nsga2,18998,4.0,5.0,4.0,4.0,5.0,3.0,FLEX-NSGA2
student,feat_flex2_nsga2,19863,6.0,7.0,5.0,6.0,8.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,20300,5.0,6.0,4.0,5.0,6.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,20404,2.0,2.0,6.0,3.0,3.0,7.0,FLEX-NSGA2
student,feat_flex2_nsga2,21353,1.0,1.0,1.0,2.0,1.0,1.0,FLEX-NSGA2
student,feat_flex2_nsga2,21924,2.0,4.0,6.0,2.0,4.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,22571,4.0,2.0,3.0,4.0,2.0,3.0,FLEX-NSGA2
student,feat_flex2_nsga2,22727,2.0,2.0,4.0,2.0,2.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,24284,3.0,3.0,1.0,3.0,3.0,1.0,FLEX-NSGA2
student,feat_flex2_nsga2,24481,5.0,6.0,4.0,4.0,6.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,25349,6.0,2.0,5.0,6.0,2.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,26311,2.0,2.0,4.0,2.0,2.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,27690,1.0,2.0,6.0,2.0,2.0,7.0,FLEX-NSGA2
student,feat_flex2_nsga2,28699,2.0,5.0,2.0,3.0,6.0,2.0,FLEX-NSGA2
student,feat_flex2_nsga2,29198,5.0,2.0,6.0,5.0,3.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,29756,1.0,4.0,5.0,1.0,5.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,29759,1.0,6.0,2.0,1.0,7.0,3.0,FLEX-NSGA2
student,feat_flex2_nsga2,30132,1.0,2.0,6.0,4.0,2.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,31658,5.0,4.0,2.0,5.0,4.0,2.0,FLEX-NSGA2
student,feat_flex2_nsga2,32400,4.0,3.0,5.0,4.0,3.0,5.0,FLEX-NSGA2
student,feat_lex,871,6.0,4.0,5.0,6.0,4.0,6.0,LEX
student,feat_lex,1318,4.0,8.0,7.0,4.0,8.0,7.0,LEX
student,feat_lex,2917,3.0,5.0,1.0,3.0,6.0,1.0,LEX
student,feat_lex,4719,1.0,5.0,2.0,1.0,5.0,2.0,LEX
student,feat_lex,4866,6.0,5.0,4.0,5.0,6.0,4.0,LEX
student,feat_lex,5740,2.0,6.0,1.0,2.0,6.0,1.0,LEX
student,feat_lex,6126,4.0,6.0,3.0,4.0,5.0,3.0,LEX
student,feat_lex,6654,1.0,1.0,1.0,1.0,1.0,1.0,LEX
student,feat_lex,6832,1.0,2.0,1.0,1.0,2.0,1.0,LEX
student,feat_lex,6933,2.0,3.0,5.0,2.0,4.0,5.0,LEX
student,feat_lex,7376,3.0,3.0,3.0,3.0,3.0,3.0,LEX
student,feat_lex,8233,5.0,8.0,4.0,5.0,8.0,4.0,LEX
student,feat_lex,8653,2.0,7.0,3.0,2.0,7.0,3.0,LEX
student,feat_lex,9271,3.0,6.0,3.0,3.0,7.0,3.0,LEX
student,feat_lex,9292,1.0,7.0,2.0,1.0,6.0,2.0,LEX
student,feat_lex,9296,2.0,5.0,2.0,2.0,5.0,2.0,LEX
student,feat_lex,9540,6.0,5.0,6.0,6.0,6.0,7.0,LEX
student,feat_lex,9675,3.0,7.0,3.0,2.0,6.0,2.0,LEX
student,feat_lex,10102,3.0,7.0,1.0,3.0,7.0,1.0,LEX
student,feat_lex,10132,1.0,5.0,2.0,2.0,6.0,2.0,LEX
student,feat_lex,10197,5.0,6.0,3.0,5.0,6.0,3.0,LEX
student,feat_lex,12092,3.0,6.0,3.0,3.0,8.0,3.0,LEX
student,feat_lex,12498,4.0,6.0,4.0,4.0,6.0,4.0,LEX
student,feat_lex,12669,1.0,5.0,1.0,1.0,5.0,1.0,LEX
student,feat_lex,13352,3.0,6.0,3.0,3.0,6.0,3.0,LEX
student,feat_lex,14289,4.0,2.0,4.0,5.0,2.0,4.0,LEX
student,feat_lex,14724,1.0,4.0,6.0,1.0,4.0,6.0,LEX
student,feat_lex,15860,5.0,7.0,6.0,5.0,7.0,6.0,LEX
